Participant,Tester,Initial Coder,Blind Coder,Date Tested,Time Tested,Participant Name,EventVersion,Date of Birth,Age at Test,Previous Study?,ASL?,Filename,Original Filenames,In AllData?,To include,Exclude reason,Notes
1,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_01_Gesture.mp4, Spatial_01_Case.mp4","SC 1 G N 00016, SC 1 G AI 00017",Yes,1,,
2,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_02_Gesture.mp4, Spatial_02_Case.mp4","SC 2 G N 00019, SC 2 G AI 00020",Yes,0,UNK,
3,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_03_Gesture, Spatial_03_Case","SC 3 G N2 00024, SC 3 G AI2 00026, SC 3 G AI3 00027",Yes,1,,
4,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_04_Gesture, Spatial_04_Case","SC 4 G N2 00031, SC 4 G AI2 00033",Yes,1,,
5,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_05_Gesture.mp4, Spatial_05_Case.mp4","SC 5 G N 00214, SC 5 G AI2 00216",Yes,1,,
6,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_06_Gesture.mp4, Spatial_06_Case.mp4","SC 6 G N2 00219, SC 6 G AI 00220",Yes,1,,
7,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_07_Gesture.mp4, Spatial_07_Case.mp4","SC 7 G N 00222, SC 7 G AI 00223",Yes,1,,
8,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,"Spatial_08_Gesture.mp4, Spatial_08_Case.mp4","SC 8 G N 00225, SC 8 G AI 00226",Yes,1,,
Subjects 9-12,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,Data lost,,No,0,NA,Data lost
Subjects 13-20,Eunice,Eunice,Miguel,UNK,UNK,UNK,,,,,,Numbers not used,,No,0,NA,Data lost
